invoice_number,vendor_id,po_number,invoice_date,vat_amount,due_date,invoice_amount,outliers,currency,status,invoice_type,department
HAY/2023/1001,1000085102,4595219410,25-12-2023,21524.2,24-01-2024,107621,Normal,GBP,Processing,Industrial Equipment,Finance
FGD-2023-01006,1000056920,4564993950,25-01-2024,25122.4,10-03-2024,125612,Normal,GBP,Processing,Industrial Equipment,IT Operations
2024/33913,1000031867,4541213224,22-05-2023,59728.4,21-07-2023,314360,Normal,EUR,Overdue,Software Licence,R&D
CMT-2023-01009,2000093507,4541697369,09-08-2024,0,24-08-2024,239153,Normal,USD,Disputed,Subscription,IT Operations
2023-RCS-1030,1000099061,4566566316,02-09-2023,8842.2,01-11-2023,44211,Normal,GBP,Paid,Tooling,Healthcare
INV2024001038,1000096466,4511424393,14-11-2023,81566.8,29-12-2023,407834,Normal,GBP,Hold,Freight & Logistics,R&D
INV2024001013,1000023599,4547670428,04-05-2024,43486.8,20-04-2024,217434,Normal,GBP,Paid,Professional Services,Procurement
2023-THG-1028,2000033981,4527715082,17-08-2023,0,01-10-2023,356943,Normal,USD,Part Paid,Software Licence,Energy Management
BIF00001009,1000056979,4572000995,04-05-2024,49642.4,02-08-2024,248212,Normal,GBP,Overdue,Freight & Logistics,Smart Infrastructure
PLF/2023/1064,1000035815,4576509626,16-02-2023,46971.8,17-04-2023,234859,Normal,GBP,Cancelled,Utilities,Technical Services
2023/72332,2000025351,4517373203,22-02-2024,0,23-03-2024,45454,Normal,USD,Paid,Annual Maintenance Contract,R&D
SI-0001016,1000011404,4569880196,03-06-2024,83227,01-09-2024,416135,Normal,GBP,Paid,Annual Maintenance Contract,Finance
2024/83602,1000033983,4584781739,13-05-2025,93346,11-08-2025,466730,Normal,GBP,On Hold,Capital Expenditure,Finance
INV2024001021,2000093507,4522493209,03-08-2023,0,18-08-2023,148207,Normal,USD,Disputed,Annual Maintenance Contract,Energy Management
2023-YLU-1007,1000048518,4552915831,09-10-2023,5145.4,08-11-2023,25727,Normal,GBP,Overdue,Preventive Maintenance,Digital Industries
SI-0001030,1000011404,4586826109,24-03-2023,62072.2,22-06-2023,310361,Normal,GBP,Overdue,Subscription,Digital Industries
P001018-2024,1000043125,4539496569,11-04-2023,69695.8,11-05-2023,348479,Normal,GBP,Hold,Freight & Logistics,Digital Industries
P001021-2024,1000023599,4582903416,24-09-2023,79439.6,09-10-2023,397198,Normal,GBP,On Hold,Annual Maintenance Contract,Smart Infrastructure
2024-DAL-1028,1000064520,4573772263,10-05-2023,10675.4,09-06-2023,53377,Normal,GBP,Disputed,Capital Expenditure,Digital Industries
GWI/2024/1060,1000053134,4577178167,13-02-2025,0,15-03-2025,162238,Normal,USD,Paid,Software Licence,Finance
INV2024001011,1000048518,4552915831,12-10-2023,5383.6,11-11-2023,26918,Normal,GBP,On Hold,Consultancy,Finance
2024-KON-1033,1000031867,4578806340,23-07-2023,40335.29,21-09-2023,212291,Normal,EUR,Part Paid,Spares & Components,Automation
CMT00001022,2000093507,4522493209,16-10-2023,0,31-10-2023,144359,Normal,USD,On Hold,Annual Maintenance Contract,Digital Industries
2023/45128,1000064520,4561720130,28-02-2024,3140.8,29-03-2024,15704,Normal,GBP,Hold,Professional Services,R&D
2024-GWI-1066,1000053134,4564128227,31-01-2025,78012,02-03-2025,390060,Normal,GBP,Disputed,Spares & Components,Energy Management
TML-2023-01039,1000096466,4595594140,15-06-2023,93163.8,30-07-2023,465819,Normal,GBP,Overdue,Subscription,IT Operations
PMS-2024-01008,1000021602,4597449560,31-12-2023,57832.77,15-01-2024,304383,Normal,EUR,Overdue,Freight & Logistics,HR & Admin
2024/35001,1000023599,4592869300,13-12-2024,36666.4,28-12-2024,183332,Normal,GBP,Hold,Preventive Maintenance,Procurement
2023/51737,1000062828,4574162696,08-04-2024,44211,07-06-2024,221055,Normal,GBP,Processing,Professional Services,HR & Admin
INV2023001035,1000060552,4559305311,26-07-2023,49935.04,25-08-2023,262816,Normal,EUR,Paid,Annual Maintenance Contract,Technical Services
PHX00001032,1000078188,4544666429,08-05-2023,32173.46,07-06-2023,169334,Normal,EUR,Part Paid,Tooling,Smart Infrastructure
SI-0001042,1000031867,4573011095,15-11-2023,10143.53,14-01-2024,53387,Normal,EUR,Pending,Professional Services,R&D
ERL/2023/1043,1000023599,4564942244,10-10-2023,74347,25-10-2023,371735,Normal,GBP,Paid,Subscription,Automation
ERL-2023-01045,1000023599,No PO,08-05-2024,44880.8,23-05-2024,224404,Normal,GBP,In Review,Industrial Equipment,IT Operations
2024/82284,1000096466,4551352278,17-11-2024,21769.6,01-01-2025,108848,Normal,GBP,On Hold,Software Licence,Smart Infrastructure
INV2023001052,1000031867,4578806340,03-02-2024,45497.02,03-04-2024,239458,Normal,EUR,Paid,Consultancy,HR & Admin
SI-0001057,1000096466,4595594140,27-04-2023,94210,06-11-2023,471050,Normal,GBP,Paid,Preventive Maintenance,Smart Infrastructure
SI-0001029,2000043692,4556720776,10-09-2024,0,25-09-2024,421921,Normal,USD,Hold,Preventive Maintenance,Technical Services
INV2023001003,1000013105,4550549460,22-12-2024,75061.4,20-02-2025,395060,Normal,EUR,Paid,Tooling,Digital Industries
BBH-2024-01024,1000068330,4575649423,19-04-2025,92287,19-05-2025,461435,Normal,GBP,Hold,Tooling,Healthcare
IFM-2023-01027,1000069628,4543769312,22-01-2023,44796.4,22-04-2023,223982,Normal,GBP,Part Paid,Freight & Logistics,Technical Services
PTL-2023-01026,2000083288,4589710708,28-04-2023,0,28-05-2023,348835,Normal,USD,Part Paid,Preventive Maintenance,Finance
N4L00001053,1000029627,4511966146,13-05-2024,93574.4,28-05-2024,467872,Normal,GBP,Pending,Industrial Equipment,R&D
2023/24311,1000036252,No PO,22-10-2023,52614.8,21-11-2023,263074,Normal,GBP,Disputed,Professional Services,Finance
MSL00001034,2000025351,4553029742,13-06-2024,0,13-07-2024,403053,Normal,USD,Part Paid,Tooling,Procurement
P001006-2024,1000024940,4518378797,13-04-2024,43475,28-05-2024,217375,Normal,GBP,Paid,Preventive Maintenance,IT Operations
ULC00001027,2000067442,4525336431,30-12-2023,0,29-01-2024,197544,Normal,USD,Cancelled,Annual Maintenance Contract,R&D
P001029-2024,1000087316,4590141088,05-05-2023,80484.2,03-08-2023,402421,Normal,GBP,Pending,Preventive Maintenance,Finance
SI-0001043,1000064520,4592477969,08-12-2024,29638.2,07-01-2025,148191,Normal,GBP,In Review,Software Licence,Quality Assurance
INV2023001023,1000048518,4586025947,01-04-2025,3046.2,01-05-2025,15231,Normal,GBP,Paid,Annual Maintenance Contract,HR & Admin
2024-TTN-1002,1000085764,4590164644,06-03-2025,42987.4,05-05-2025,214937,Normal,GBP,Pending,Tooling,HR & Admin
P001031-2023,1000069628,4579130404,06-12-2023,24629.89,05-03-2024,129631,Normal,EUR,Paid,Professional Services,Energy Management
KON/2023/1066,1000031867,4578806340,30-11-2023,45970.69,29-01-2024,241951,Normal,EUR,Part Paid,Preventive Maintenance,Healthcare
IFM00001037,1000069628,4529690012,12-12-2024,14907.8,03-12-2025,74539,Normal,GBP,Part Paid,Consultancy,Automation
P001005-2023,1000081143,4556055382,23-09-2024,39644.2,22-12-2024,198221,Normal,GBP,Overdue,Professional Services,Technical Services
INV2024001066,1000096466,4587910819,21-02-2023,0,07-04-2023,73608,Normal,USD,Disputed,Preventive Maintenance,Quality Assurance
TML/2023/1075,1000096466,4551352278,31-10-2024,22129.4,15-12-2024,110647,Normal,GBP,Overdue,Spares & Components,R&D
SI-0001031,1000011404,4533573026,21-09-2023,37093.2,20-12-2023,185466,Normal,GBP,Disputed,Capital Expenditure,Healthcare
GWI-2023-01080,1000053134,4566824735,26-06-2024,73131.4,26-07-2024,365657,Normal,GBP,Paid,Preventive Maintenance,IT Operations
CHX00001042,2000043692,4593556042,16-02-2025,0,03-03-2025,84224,Normal,USD,Cancelled,Subscription,Smart Infrastructure
SI-0001045,1000082868,4517078676,03-03-2025,0,02-04-2025,45811,Normal,USD,Disputed,Professional Services,IT Operations
SI-0001076,1000096466,4582159808,20-04-2024,95278.8,04-06-2024,476394,Normal,GBP,Pending,Preventive Maintenance,Healthcare
ARC00001024,1000022345,4590565726,03-08-2024,93292.8,18-08-2024,466464,Normal,GBP,Paid,Tooling,IT Operations
2024/58772,2000025351,4512308244,07-09-2023,0,07-10-2023,326539,Normal,USD,On Hold,Industrial Equipment,Finance
INV2024001018,2000040186,4529847717,21-06-2024,0,05-08-2024,371533,Normal,USD,Paid,Capital Expenditure,Healthcare
INV2024001014,1000097776,4568220709,02-08-2023,65508.4,17-08-2023,327542,Normal,GBP,Processing,Professional Services,Technical Services
2024/70155,1000011404,4533573026,17-10-2023,36657.2,15-01-2024,183286,Normal,GBP,Overdue,Annual Maintenance Contract,IT Operations
P001026-2024,1000022345,4536205501,12-11-2023,41994,27-11-2023,209970,Normal,GBP,Pending,Capital Expenditure,Finance
P001044-2023,1000060552,4518175495,02-09-2024,456694.45,02-10-2024,2403655,Review Required,EUR,Disputed,Software Licence,IT Operations
INV2023001014,1000056492,4546278455,19-11-2024,78339.8,03-01-2025,391699,Normal,GBP,Processing,Professional Services,Technical Services
HAY/2023/1011,1000085102,4513812138,07-12-2024,84197.2,06-01-2025,420986,Normal,GBP,Part Paid,Subscription,Healthcare
ENH00001057,1000060552,4586103838,28-02-2024,93825.42,29-03-2024,493818,Normal,EUR,Overdue,Preventive Maintenance,Technical Services
SI-0001082,1000053134,4569989388,06-08-2024,58709.4,08-07-2024,293547,Normal,GBP,In Review,Software Licence,Quality Assurance
ULC/2023/1038,2000067442,4571755797,11-08-2023,0,10-09-2023,380789,Normal,USD,On Hold,Preventive Maintenance,Energy Management
2023-ASC-1023,1000095845,4575992324,01-10-2024,77675.99,31-10-2024,408821,Normal,EUR,Paid,Professional Services,Procurement
DAL-2023-01044,1000064520,4573772263,25-05-2023,7886,24-06-2023,39430,Normal,GBP,Paid,Freight & Logistics,Procurement
TML/2023/1080,1000096466,4527988233,04-07-2024,2450,18-08-2024,12250,Normal,GBP,Part Paid,Utilities,Automation
SI-0001034,1000095845,4585624834,09-03-2024,90635,08-04-2024,453175,Normal,GBP,On Hold,Capital Expenditure,Automation
2024/54941,1000029627,4510676626,10-04-2024,59566.2,25-04-2024,297831,Normal,GBP,Disputed,Preventive Maintenance,Energy Management
P001033-2024,1000087316,4553232833,16-05-2023,20733.2,14-08-2023,103666,Normal,GBP,Processing,Industrial Equipment,Quality Assurance
THG00001035,2000033981,4529970454,05-03-2024,0,19-04-2024,353274,Normal,USD,Hold,Preventive Maintenance,Automation
2023-PLF-1072,1000035815,4575455497,26-09-2024,36925.2,25-11-2024,184626,Normal,GBP,Paid,Freight & Logistics,Finance
2024/40312,1000029627,4591151405,24-05-2024,62580.8,08-06-2024,312904,Normal,GBP,Overdue,Freight & Logistics,Digital Industries
PHX00001035,1000078188,4544666429,30-04-2023,30678.54,30-05-2023,161466,Normal,EUR,Paid,Utilities,Procurement
FST-2024-01008,1000013105,4518743955,15-11-2024,81285.8,15-12-2024,427820,Normal,EUR,Paid,Subscription,Procurement
2023/65015,1000053134,4564128227,31-05-2023,76539.2,30-06-2023,382696,Normal,GBP,Cancelled,Preventive Maintenance,HR & Admin
SI-0001102,1000053134,No PO,19-08-2023,77350.4,18-09-2023,386752,Normal,GBP,Paid,Subscription,Healthcare
P001050-2023,1000064520,4540357142,11-07-2024,65889,10-08-2024,329445,Normal,GBP,Processing,Capital Expenditure,Procurement
2023/88881,1000011404,No PO,26-03-2023,61904.6,24-06-2023,309523,Normal,GBP,Paid,Industrial Equipment,Automation
2023/45721,1000031867,4578806340,14-11-2023,44554.05,13-01-2024,234495,Normal,EUR,Pending,Annual Maintenance Contract,Automation
NGB/2024/1021,1000031235,4580514951,01-10-2023,95159.4,16-10-2023,475797,Normal,GBP,Pending,Freight & Logistics,Technical Services
INV2024001089,1000096466,4551352278,08-12-2024,105951,22-01-2025,529755,Normal,GBP,Disputed,Software Licence,Automation
2023/17765,1000035815,4581953019,26-09-2024,92213.4,25-11-2024,461067,Normal,GBP,On Hold,Professional Services,Energy Management
N4L/2023/1095,1000029627,4586438542,13-02-2024,11531.6,28-02-2024,57658,Normal,GBP,Paid,Annual Maintenance Contract,Finance
SI-0001073,1000031867,4541084002,24-11-2023,37241.33,23-01-2024,196007,Normal,EUR,Processing,Consultancy,Digital Industries
NGB/2024/1027,1000031235,4524565475,19-03-2023,97895.4,03-04-2023,489477,Normal,GBP,Paid,Industrial Equipment,Quality Assurance
2023-IFM-1048,1000069628,4579130404,02-12-2023,24479,01-03-2024,122395,Normal,GBP,In Review,Capital Expenditure,Smart Infrastructure
SI-0001064,1000060552,4590726615,29-12-2024,48686.36,28-01-2025,256244,Normal,EUR,Part Paid,Annual Maintenance Contract,Finance
DAL00001063,1000064520,4573772263,20-07-2023,7998.2,19-08-2023,39991,Normal,GBP,Paid,Software Licence,Procurement
FST00001009,1000013105,4568050002,05-02-2024,51532.18,05-04-2024,271222,Normal,EUR,In Review,Capital Expenditure,Energy Management
CMT00001043,2000093507,4541697369,14-10-2024,0,29-10-2024,240323,Normal,USD,In Review,Capital Expenditure,Energy Management
SI-0001075,1000064520,4597735770,09-01-2024,55534.4,08-02-2024,277672,Normal,GBP,Pending,Freight & Logistics,Finance
ENH-2023-01072,1000060552,4586047309,21-11-2024,24662.38,21-12-2024,129802,Normal,EUR,Disputed,Consultancy,Procurement
2023/94035,1000029627,4511966146,08-03-2024,92024.6,23-03-2024,460123,Normal,GBP,Processing,Professional Services,Energy Management
DAL00001087,1000064520,4597735770,15-12-2023,55235.2,14-01-2024,276176,Normal,GBP,Paid,Spares & Components,Finance
SI-0001019,1000021602,4515101477,03-04-2025,3214.42,18-04-2025,16918,Normal,EUR,Pending,Annual Maintenance Contract,Energy Management
N4L/2024/1103,1000029627,4591151405,28-07-2024,62046.4,12-08-2024,310232,Normal,GBP,Processing,Professional Services,IT Operations
IUK00001046,1000087316,No PO,14-12-2024,37598.6,14-03-2025,187993,Normal,GBP,Paid,Industrial Equipment,Energy Management
BIF00001013,1000056979,4530845342,03-12-2024,82160.4,03-03-2025,410802,Normal,GBP,Paid,Freight & Logistics,Healthcare
YLU-2024-01038,1000048518,4595078105,10-03-2023,66100.8,09-04-2023,330504,Normal,GBP,On Hold,Freight & Logistics,Technical Services
2023-DAL-1100,1000064520,No PO,16-04-2024,96299.6,16-05-2024,481498,Normal,GBP,In Review,Capital Expenditure,Quality Assurance
HAY00001021,1000085102,4595219410,18-11-2023,18868.6,18-12-2023,94343,Normal,GBP,Processing,Capital Expenditure,Procurement
P001051-2023,2000093507,4541697369,20-09-2024,48165.8,05-10-2024,240829,Normal,GBP,Paid,Freight & Logistics,Smart Infrastructure
ULC/2023/1046,2000067442,4533105548,17-07-2024,0,16-08-2024,204399,Normal,USD,Paid,Professional Services,R&D
P001053-2023,1000048518,4552915831,27-08-2023,4455.4,26-09-2023,22277,Normal,GBP,Processing,Spares & Components,Automation
SI-0001015,1000097776,4568910774,12-11-2024,60094,27-11-2024,300470,Normal,GBP,In Review,Spares & Components,HR & Admin
2023-PLF-1086,1000035815,4546200009,04-08-2024,38836,03-09-2024,194180,Normal,GBP,Overdue,Annual Maintenance Contract,R&D
2024-RCS-1031,1000099061,4554763235,12-03-2024,64800.6,11-05-2024,324003,Normal,GBP,Pending,Software Licence,IT Operations
BBH/2024/1034,1000068330,4575649423,19-04-2025,94112.8,04-05-2025,470564,Normal,GBP,Pending,Tooling,Digital Industries
2023/68589,1000031235,4513504964,16-05-2023,24712.8,31-05-2023,123564,Normal,GBP,Hold,Spares & Components,Healthcare
2023-YLU-1056,1000048518,4586398574,16-11-2023,48251,16-12-2023,241255,Normal,GBP,Part Paid,Subscription,Procurement
2024/39607,1000043125,4511907184,01-01-2024,21741.4,01-03-2024,108707,Normal,GBP,Part Paid,Consultancy,IT Operations
2024-KON-1080,1000031867,4594970749,16-05-2023,76416.48,15-07-2023,402192,Normal,EUR,Pending,Software Licence,Smart Infrastructure
ERL-2024-01046,1000023599,4513182792,21-07-2023,50846.8,05-08-2023,254234,Normal,GBP,Paid,Capital Expenditure,Technical Services
DAL-2023-01107,1000064520,4530790855,01-12-2023,51571.6,31-12-2023,257858,Normal,GBP,On Hold,Utilities,Smart Infrastructure
2023/17421,1000068330,4575649423,19-04-2025,94106.4,04-05-2025,470532,Normal,GBP,Paid,Industrial Equipment,IT Operations
INV2023001027,1000056979,4531112159,04-05-2025,87758.6,02-08-2025,438793,Normal,GBP,Paid,Capital Expenditure,Healthcare
SI-0001027,1000096033,4514556276,30-09-2024,87359.4,29-11-2024,436797,Normal,GBP,Paid,Spares & Components,Healthcare
SPE/2024/1058,1000082868,4562710578,07-05-2024,64747,21-06-2024,323735,Normal,GBP,On Hold,Freight & Logistics,Procurement
PTL-2023-01032,2000083288,4589710708,31-03-2023,0,30-04-2023,339907,Normal,USD,On Hold,Professional Services,Healthcare
CIV-2023-01034,1000096033,4544935319,15-05-2024,70682.8,14-07-2024,353414,Normal,GBP,Overdue,Freight & Logistics,HR & Admin
ARC/2023/1041,1000022345,4548566094,05-09-2024,45868.2,20-09-2024,229341,Normal,GBP,Overdue,Annual Maintenance Contract,Healthcare
INV2024001060,1000069628,4579130404,11-10-2023,25330.8,09-01-2024,126654,Normal,GBP,Paid,Spares & Components,Energy Management
SI-0001098,1000035815,4546200009,29-07-2024,37887.6,27-09-2024,189438,Normal,GBP,Paid,Annual Maintenance Contract,Finance
2024-CIR-1029,2000040186,4584108985,27-10-2023,0,11-12-2023,166506,Normal,USD,Paid,Capital Expenditure,Digital Industries
P001011-2023,2000033106,4596260793,07-08-2023,0,22-08-2023,306966,Normal,USD,Paid,Capital Expenditure,Technical Services
INV2023001075,1000060552,4510063087,12-05-2023,56853.32,11-06-2023,299228,Normal,EUR,Paid,Tooling,Quality Assurance
INV2023001097,1000096466,4566024494,02-04-2023,81835.6,21-03-2023,409178,Normal,GBP,Processing,Capital Expenditure,Quality Assurance
2024/34364,1000062828,4535999790,06-08-2023,0,07-08-2023,184145,Normal,USD,On Hold,Freight & Logistics,Automation
2023/59276,1000062828,4574162696,27-04-2024,45829.2,26-06-2024,229146,Normal,GBP,Part Paid,Professional Services,Technical Services
SI-0001104,1000029627,4511966146,29-02-2024,92000.8,15-03-2024,460004,Normal,GBP,On Hold,Professional Services,HR & Admin
2024-PLF-1111,1000035815,4545550848,30-10-2024,9707.2,29-12-2024,48536,Normal,GBP,Pending,Spares & Components,Automation
P001121-2023,1000035815,4529558852,05-04-2025,34865.4,04-06-2025,174327,Normal,GBP,Processing,Consultancy,Finance
SI-0001092,1000031867,4581317004,22-08-2023,71902.27,21-10-2023,378433,Normal,EUR,Paid,Software Licence,Healthcare
ERL/2023/1047,1000023599,4555454582,31-10-2024,12596.4,15-11-2024,62982,Normal,GBP,Part Paid,Consultancy,HR & Admin
2023/55048,1000031235,4527566835,20-11-2023,90041.2,05-12-2023,450206,Normal,GBP,Paid,Preventive Maintenance,HR & Admin
P001103-2024,1000096466,4566024494,01-03-2023,83886.2,15-04-2023,419431,Normal,GBP,Paid,Industrial Equipment,Finance
