credit_note_number,vendor_id,original_invoice_number,invoice_link_flag,credit_note_date,credit_note_amount,currency,status,reason_code,vat_amount
CN2023000520,1000060552,INV2023001075,Linked,25-06-2023,195679,EUR,Applied,Service Not Rendered,37179.03
CN-TML-2023-0501,1000096466,P001103-2024,Linked,14-03-2023,57801,GBP,Pending Application,Service Not Rendered,11560.2
CRN/2024/00508,1000074246,P001001-2024,Linked,20-09-2024,37571,GBP,Open,Price Discrepancy,7514.28
TML-CN-00507,1000096466,SI-0001057,Linked,06-05-2023,228759,GBP,Open,Price Discrepancy,45751.8
ENH-CN-00506,1000060552,INV2023001035,Linked,16-08-2023,74578,EUR,Applied,Price Discrepancy,14169.88
CN2024000504,1000034878,KAI00001026,Linked,13-07-2024,13865,GBP,Applied,Price Discrepancy,2773.08
PLF-CN-00510,1000035815,PLF/2024/1139,Linked,25-01-2024,182856.46,GBP,Open,Price Discrepancy,36571.29
CRN/2024/00504,1000069628,IFM00001037,Linked,23-01-2025,10576,GBP,Partially Applied,Price Discrepancy,2115.2
CRN/2024/00507,1000013105,INV2023001003,Linked,08-01-2025,235798,EUR,Applied,Overcharge on Invoice,44801.64
CRN/2023/00506,1000099061,2023-RCS-1030,Linked,08-10-2023,20583,GBP,Applied,Overcharge on Invoice,4116.61
CN-PFM-2024-0505,1000014278,INV2023001015,Linked,07-12-2024,201509,GBP,Applied,Overcharge on Invoice,40301.96
CN-IUK-2024-0512,1000087316,INV2023001164,Linked,05-01-2025,363499,GBP,Open,Overcharge on Invoice,72699.94
MMD-CN-00508,1000082850,SI-0001002,Linked,19-01-2025,33535,USD,Applied,Overcharge on Invoice,0
CN-PLF-2024-0508,1000035815,SI-0001098,Linked,10-08-2024,33407,GBP,Open,Overcharge on Invoice,6681.4
IUK-CN-00505,1000087316,IUK00001017,Linked,29-08-2024,135305.89,GBP,Partially Applied,Goods Returned,27061.18
SSE-CN-00508,1000033983,SSE/2024/1020,Linked,24-08-2024,38709,GBP,Applied,Goods Returned,7741.84
ECL-CN-00501,1000097776,ECL-2023-01025,Linked,12-06-2023,345507,GBP,Applied,Goods Returned,69101.43
CRN/2023/00501,1000031235,NGB/2024/1027,Linked,31-03-2023,293539,GBP,Open,Goods Returned,58707.93
CN2024000508,2000083288,PTL00001096,Linked,31-05-2024,25737,USD,Open,Goods Returned,0
ENH-CN-00512,1000060552,SI-0001064,Linked,16-01-2025,178815,EUR,Applied,Goods Returned,33975.03
CRN/2024/00511,1000013105,FST-2024-01008,Linked,01-12-2024,125465,EUR,Applied,Goods Returned,23838.35
CRN/2023/00508,1000085764,SI-0001012,Linked,06-03-2023,73869,GBP,Applied,Goods Returned,14773.95
CN-ARC-2024-0501,1000022345,ARC00001024,Linked,19-08-2024,330302,GBP,Open,Goods Returned,66060.41
CN-GWI-2023-0502,1000053134,SI-0001102,Linked,11-09-2023,165450,GBP,Applied,Duplicate Payment,33090.02
MSL-CN-00508,2000025351,2023/72332,Linked,07-04-2024,22528,USD,Pending Application,Duplicate Payment,0
CN2024000501,2000067442,ULC/2023/1046,Linked,14-08-2024,30231,USD,Open,Duplicate Payment,0
CN-GWI-2023-0518,1000053134,GWI-2023-01024,Linked,10-07-2023,126534,GBP,Partially Applied,Damaged Goods,25306.93
CN-ULC-2025-0508,2000067442,SI-0001096,Linked,12-05-2025,206695,USD,Applied,Damaged Goods,0
CN2025000502,1000056979,2024-BIF-1038,Linked,12-05-2025,252744,GBP,Open,Damaged Goods,50548.8
CRN/2024/00515,2000025351,MSL/2023/1134,Linked,29-01-2024,35991,USD,Open,Contract Adjustment,0
ASC-CN-00508,1000095845,2024-ASC-1049,Linked,09-05-2024,115057,USD,Pending Application,Contract Adjustment,0
CN2023000508,1000064520,DAL-2023-01211,Linked,24-08-2023,20798,GBP,Applied,Contract Adjustment,4159.76
CN-REN-2024-0505,1000043125,2024/39607,Linked,22-01-2024,85040,GBP,Open,Contract Adjustment,17008.19
CN2024000506,1000082868,No Invoice Reference,Unlinked CN- Review,10-04-2024,23807,GBP,Applied,Billing Error,4761.4
CRN/2023/00515,1000064520,No Invoice Reference,Unlinked CN- Review,22-08-2023,3501,GBP,Applied,Billing Error,700.33
CN-CIR-2023-0507,2000040186,SI-0001049,Linked,01-11-2023,19855,EUR,Applied,Billing Error,3772.53
ENH-CN-00515,1000060552,ENH-2024-01154,Linked,23-08-2023,196996,EUR,Applied,Billing Error,37429.33
CN2024000503,1000095845,2023-ASC-1012,Linked,02-10-2024,35243,GBP,Applied,Billing Error,7048.64
CRN/2023/00512,1000069628,INV2024001060,Linked,30-10-2023,48146,EUR,Applied,Billing Error,9147.91
