payment_reference,invoice_number,payment_flag,payment_date,payment_date_flag,payment_amount,currency,payment_method,payment_status,bank_reference
PAY-2024-001055,GWI-2023-01024,Normal,21-07-2023,Ok,216404,GBP,ACH,Cleared,YW844412909
PAY-2023-001056,MSL-2024-01063,Normal,13-06-2023,Ok,103567,USD,Wire Transfer,Success,VT422878499
PAY-2024-001057,P001103-2024,Normal,30-04-2023,Ok,419431,GBP,CHAPS,Cleared,PK506697664
PAY-2023-001058,SI-0001073,Normal,23-01-2024,Ok,196007,EUR,CHAPS,Recalled,EC340947259
PAY-2024-001059,TML/2023/1075,Normal,null,Check status,110647,GBP,EFT,Success,IC794133760
PAY-2023-001060,KAI00001026,Normal,19-07-2024,Ok,107772,USD,Cheque,Cleared,HO126703723
PAY-2024-001061,N4L-2023-01149,Normal,30-10-2023,Ok,447277,GBP,EFT,Cleared,DB914727449
PAY-2024-001062,2023-ULC-1017,Normal,29-06-2024,Ok,209815,USD,International Wire,Cleared,Not Provided
PAY-2024-001063,ULC/2023/1046,Normal,14-08-2024,Ok,204399,USD,International Wire,Cleared,GT389844638
PAY-2023-001064,DAL-2024-01013,Normal,null,Check status,39529,GBP,BACS,Failed,RC204958783
PAY-2023-001065,INV2024001014,Normal,13-08-2023,Ok,327542,GBP,Cheque,Cleared,JO684319124
PAY-2023-001066,2024/33913,Normal,17-07-2023,Ok,314360,EUR,International Wire,Cleared,Not Provided
PAY-2023-001067,2023-BIF-1053,Normal,null,Check status,444257,GBP,Chaps,Processing,FL283438962
PAY-2024-001068,INV2023001014,Normal,31-12-2024,Ok,391699,GBP,Cheque,Processing,MR448939430
PAY-2023-001069,2023/94035,Normal,02-05-2024,Ok,460123,GBP,Cheque,Failed,BZ122217696
PAY-2023-001070,IFM00001037,Normal,03-01-2025,Ok,74539,GBP,SWIFT,Failed,KR428140351
PAY-2024-001071,P001028-2024,Normal,29-10-2023,Ok,291062,EUR,SWIFT,Cleared,AP269901657
PAY-2023-001072,HAY-2023-01073,Normal,11-12-2023,Ok,108067,GBP,Wire Transfer,Failed,Not Provided
PAY-2024-001073,PMS-2024-01008,Normal,27-01-2024,Ok,304383,EUR,Wire Transfer,Cleared,RV753816514
PAY-2023-001074,2024/10960,Normal,27-09-2023,Ok,393996,GBP,SWIFT,Cleared,XZ567027700
PAY-2023-001075,SI-0001013,Normal,18-01-2025,Ok,8120,USD,International Wire,Failed,CT802485823
PAY-2024-001076,MSL00001096,Normal,16-01-2024,Ok,421311,USD,SWIFT,Bounced,NA711892148
PAY-2023-001077,2024/69406,Normal,13-02-2024,Ok,240600,EUR,Chaps,Cleared,EI404503900
PAY-2023-001078,CMT00001006,Normal,08-11-2024,Ok,404988,USD,SWIFT,Failed,BU991168602
PAY-2023-001079,PFM-2023-01050,Normal,06-01-2025,Ok,347218,GBP,CHAPS,Failed,XW802280146
PAY-2024-001080,2023/72332,Normal,11-04-2024,Ok,45454,USD,Wire Transfer,Cleared,NE246151461
PAY-2023-001081,,Ghost Payment - Review,24-02-2025,Ok,395448,EUR,International Wire,Processing,LF496618286
PAY-2023-001082,SI-0001012,Normal,17-02-2023,Ok,109354,GBP,Wire Transfer,Processing,XO479897138
PAY-2024-001083,P001005-2023,Normal,20-10-2024,Ok,198221,GBP,Chaps,Success,TB650374191
PAY-2023-001084,N4L/2023/1041,Normal,06-09-2023,Ok,444015,GBP,ACH,Pending,NY384825374
PAY-2024-001085,INV2023001075,Normal,07-06-2023,Ok,299228,EUR,International Wire,Cleared,ER950011720
PAY-2024-001086,REN-2023-01004,Normal,26-06-2023,Ok,351202,GBP,CHAPS,Processing,OK450778028
PAY-2024-001087,RCS-2024-01044,Normal,13-05-2024,Ok,332505,GBP,Cheque,Cleared,EE394929007
PAY-2024-001088,NGB/2024/1027,Normal,30-04-2023,Ok,489477,GBP,Wire Transfer,Pending,Not Provided
PAY-2023-001089,SI-0001016,Normal,01-08-2024,Ok,416135,GBP,Wire Transfer,Cleared,BH721665673
PAY-2024-001090,IFM/2024/1078,Normal,04-02-2025,Ok,76763,GBP,CHAPS,Cleared,NU231819249
PAY-2024-001091,GWI/2024/1060,Normal,01-04-2025,Ok,162238,USD,EFT,Cleared,RH566472494
PAY-2023-001092,2024/35077,Normal,15-01-2024,Ok,440414,USD,SWIFT,Processing,YN632912035
PAY-2023-001093,MOG-2024-01010,Normal,14-05-2024,Ok,310262,USD,Wire Transfer,Cleared,LU556828581
PAY-2023-001094,2023-KON-1102,Normal,09-05-2023,Ok,319628,EUR,Wire Transfer,Cleared,ZG526708378
PAY-2023-001095,2024-ENH-1172,Normal,26-12-2024,Ok,199159,EUR,SWIFT,Pending,SQ375968328
PAY-2023-001096,YLU-2023-01062,Normal,28-12-2023,Ok,246518,USD,International Wire,Success,MY823797713
PAY-2023-001097,P001004-2024,Normal,21-12-2024,Ok,9236,EUR,International Wire,Cleared,NS376389207
PAY-2023-001098,NGB-2023-01078,Normal,06-12-2024,Ok,194075,GBP,faster payments,Failed,Not Provided
PAY-2023-001099,P001082-2023,Normal,23-12-2024,Ok,58735,EUR,SWIFT,Failed,XR274194137
PAY-2024-001100,SI-0001064,Normal,null,Check status,256244,EUR,Wire Transfer,Cleared,DL701416282
PAY-2024-001101,CHX00001074,Normal,14-04-2023,Ok,355919,USD,Wire Transfer,Cleared,MH158107669
PAY-2023-001102,2023/44980,Normal,16-08-2024,Ok,21239,GBP,International Wire,Success,XA484947956
PAY-2024-001103,SI-0001137,Normal,05-12-2024,Ok,1006545,EUR,Wire Transfer,Cleared,GR405745520
PAY-2023-001104,HAY00001021,Normal,null,Check status,94343,GBP,EFT,Pending,CY921785691
PAY-2023-001105,P001033-2024,Normal,02-06-2023,Ok,103666,GBP,Chaps,Cleared,VR449177686
PAY-2023-001106,IUK/2024/1129,Normal,26-05-2024,Ok,302953,GBP,Wire Transfer,Failed,NT280668210
PAY-2023-001107,2023/17421,Normal,10-06-2025,Ok,470532,GBP,Faster Payments,Cleared,JP846746591
PAY-2023-001108,MSL00001034,Normal,09-08-2024,Ok,403053,USD,Wire Transfer,Failed,EJ325823240
PAY-2023-001109,INV2023001136,Normal,05-11-2023,Ok,254845,EUR,International Wire,Cleared,RZ175158320
PAY-2023-001110,PMC-2023-01015,Normal,10-10-2024,Ok,129506,USD,International Wire,Cleared,WE223502641
PAY-2023-001111,PTL00001096,Normal,25-05-2024,Ok,302319,USD,SWIFT,Cleared,WV796351864
PAY-2023-001112,INV2023001074,Normal,27-07-2024,Ok,479193,USD,International Wire,Failed,YO719195935
PAY-2024-001113,2023-CIV-1010,Normal,19-12-2024,Ok,410877,GBP,faster payments,Failed,NF469745989
PAY-2024-001114,NGB-2023-01055,Normal,31-03-2024,Ok,372853,GBP,Cheque,Cleared,JW123979679
PAY-2023-001115,SI-0001150,Normal,30-12-2023,Ok,452657,GBP,Wire Transfer,Failed,OK843233287
PAY-2023-001116,P001075-2024,Normal,22-01-2025,Ok,56806,USD,CHAPS,Cleared,UP613046493
PAY-2023-001117,MSL-2024-01015,Normal,02-11-2023,Ok,1674365,USD,International Wire,Cleared,Not Provided
PAY-2023-001118,SI-0001096,Normal,24-05-2025,Ok,371723,USD,Chaps,Cleared,OA809050419
PAY-2024-001119,N4L-2024-01134,Normal,01-09-2024,Ok,298904,GBP,BACS,Cleared,FS932023979
PAY-2024-001120,2024/82719,Normal,null,Check status,170112,EUR,SWIFT,Cleared,SQ255679129
PAY-2024-001121,INV2024001044,Normal,14-06-2024,Ok,362060,GBP,Wire Transfer,Cleared,RW340655022
PAY-2024-001122,ERL/2023/1047,Normal,24-11-2024,Ok,62982,GBP,International Wire,Cleared,VK279214498
PAY-2024-001123,GWI/2024/1038,Normal,29-12-2023,Ok,252532,GBP,ACH,Bounced,IR623217486
PAY-2024-001124,2024-CHX-1065,Normal,31-08-2023,Ok,387139,USD,International Wire,Cleared,XZ937542833
PAY-2023-001125,INV2023001078,Normal,30-11-2023,Ok,142346,USD,EFT,Failed,HK497732980
PAY-2024-001126,INV2024001082,Normal,02-08-2023,Ok,346577,USD,International Wire,Processing,VH126679190
PAY-2023-001127,PMS-2024-01054,Normal,17-01-2024,Ok,305772,EUR,International Wire,Processing,XB918443257
PAY-2024-001128,2023-ASC-1012,Normal,24-09-2024,Ok,414691,GBP,SWIFT,Processing,ZS909026844
PAY-2024-001129,SI-0001046,Normal,30-05-2024,Ok,53977,USD,Wire Transfer,Cleared,IS701125616
PAY-2023-001130,2023/59276,Normal,05-09-2024,Ok,229146,GBP,faster payments,Success,TI651659882
PAY-2024-001131,SI-0001102,Normal,null,Check status,386752,GBP,SWIFT,Processing,ZP746537402
PAY-2023-001132,CIV-2023-01034,Normal,19-06-2024,Ok,326897,GBP,EFT,Success,LP814424462
PAY-2024-001133,N4L00001002,Normal,08-09-2024,Ok,93514,GBP,Cheque,Cleared,CV459679326
PAY-2023-001134,2024-IFM-1087,Normal,12-02-2025,Ok,66257,GBP,EFT,Success,JJ402186385
PAY-2024-001135,,Ghost Payment - Review,18-01-2024,Ok,396280,GBP,EFT,Cleared,KJ172545733
PAY-2024-001136,2023-YLU-1007,Normal,27-10-2023,Ok,25727,GBP,BACS,Success,IY322613867
PAY-2024-001137,N4L/2024/1103,Normal,02-08-2024,Ok,310232,GBP,BACS,Success,Not Provided
PAY-2023-001138,PLF/2024/1139,Normal,12-02-2024,Ok,443082,GBP,BACS,Cleared,BN110503512
PAY-2024-001139,P001060-2023,Normal,08-07-2024,Ok,382282,GBP,Cheque,Cleared,NY205268864
PAY-2023-001140,DAL-2023-01148,Normal,03-02-2024,Ok,273666,EUR,SWIFT,Cleared,Not Provided
PAY-2024-001141,N4L/2023/1095,Normal,18-02-2024,Ok,57658,GBP,Faster Payments,Cleared,RE370123203
PAY-2023-001142,P001031-2023,Normal,null,Check status,129631,EUR,International Wire,Cleared,YB777195156
PAY-2024-001143,ERL/2023/1107,Normal,22-01-2025,Ok,179151,GBP,CHAPS,Cleared,NP252903696
PAY-2024-001144,P001001-2024,Normal,08-10-2024,Ok,119812,GBP,Wire Transfer,Cleared,CN882919932
PAY-2023-001145,BIF00001009,Normal,22-05-2024,Ok,248212,GBP,faster payments,Processing,OA935976270
PAY-2024-001146,SI-0001057,Normal,01-09-2023,Ok,378503,USD,SWIFT,Cleared,EW423495544
PAY-2023-001147,HAY/2023/1001,Normal,null,Check status,107621,GBP,BACS,Cleared,GR823834631
PAY-2023-001148,2024-ULC-1071,Normal,22-03-2023,Ok,360126,USD,Wire Transfer,Success,IO817812474
PAY-2024-001149,INV2024001060,Normal,11-11-2023,Ok,126654,GBP,ACH,Failed,KI404371036
PAY-2024-001150,NGB00001073,Normal,05-07-2023,Ok,165572,GBP,EFT,Cleared,Not Provided
PAY-2023-001151,HAY00001048,Normal,23-11-2024,Ok,77758,GBP,CHAPS,Returned,UY750438647
PAY-2024-001152,FGD-2023-01006,Normal,05-03-2024,Ok,125612,GBP,Faster Payments,Cleared,Not Provided
PAY-2024-001153,P001026-2024,Normal,06-07-2023,Ok,484996,GBP,CHAPS,Processing,Not Provided
PAY-2023-001154,BBH-2024-01042,Normal,09-07-2023,Ok,328942,GBP,CHAPS,Failed,Not Provided
PAY-2023-001155,INV2023001164,Normal,19-01-2025,Ok,478662,GBP,Wire Transfer,Cleared,VD776998852
PAY-2023-001156,INV2023001063,Normal,14-12-2024,Ok,333498,GBP,EFT,Cleared,LV280840757
PAY-2023-001157,ENH-2024-01109,Normal,11-03-2024,Ok,502071,EUR,ACH,Cleared,GX946391190
PAY-2024-001158,ENH/2023/1016,Normal,22-02-2025,Ok,134318,EUR,International Wire,Pending,EX986749987
PAY-2024-001159,KNX/2023/1058,Normal,null,Check status,183109,GBP,BACS,Cleared,CQ883004636
PAY-2023-001160,SI-0001092,Normal,25-04-2024,Ok,198034,USD,International Wire,Cleared,DF260711043
PAY-2024-001161,SI-0001092,Normal,17-09-2023,Ok,378433,EUR,International Wire,Processing,FC888046577
PAY-2023-001162,2024/25581,Normal,03-11-2024,Ok,346213,GBP,BACS,Cleared,XA509232783
PAY-2023-001163,2024/40312,Normal,19-06-2024,Ok,312904,GBP,International Wire,Failed,US825736828
PAY-2024-001164,2023/55496,Normal,25-08-2024,Ok,141231,GBP,International Wire,Cleared,DQ312940345
PAY-2024-001165,CIV-2023-01048,Normal,28-12-2024,Ok,405163,GBP,CHAPS,Failed,OD250119297
PAY-2023-001166,P001006-2024,Normal,12-06-2024,Ok,217375,GBP,Wire Transfer,Cleared,RQ102403190
PAY-2023-001167,2023-THG-1028,Normal,13-10-2023,Ok,356943,USD,CHAPS,Cleared,LI972764745
PAY-2023-001168,INV2024001125,Normal,13-12-2023,Ok,370808,GBP,Cheque,Cleared,NH771904799
PAY-2024-001169,2024-ASC-1049,Normal,25-06-2024,Ok,285083,USD,International Wire,Success,JC680141947
PAY-2024-001170,APT/2024/1008,Normal,16-06-2023,Ok,372943,USD,BACS,Success,SY267934981
PAY-2024-001171,PHX-2023-01065,Normal,30-11-2024,Ok,12969,EUR,SWIFT,Failed,YV871131906
PAY-2024-001172,P001063-2024,Normal,15-07-2024,Ok,247791,EUR,International Wire,Failed,LT899829966
PAY-2024-001173,SI-0001073,Normal,21-03-2024,Ok,394368,GBP,CHAPS,Processing,FT244744969
PAY-2024-001174,PLF00001160,Normal,07-10-2023,Ok,488073,GBP,Faster Payments,Success,XT135677591
PAY-2023-001175,SI-0001028,Normal,28-01-2025,Ok,44284,GBP,Cheque,Cleared,XK628921361
PAY-2024-001176,ECL-2023-01025,Normal,23-07-2023,Ok,487140,GBP,ACH,Success,VX845858638
PAY-2023-001177,DAL-2023-01211,Normal,null,Check status,38119,GBP,Chaps,Cleared,HE193747578
PAY-2024-001178,SSE/2024/1020,Normal,05-11-2024,Ok,491079,GBP,BACS,Cleared,GE169399659
PAY-2023-001179,,Ghost Payment - Review,null,Check status,417532,GBP,Wire Transfer,Failed,UP505989056
PAY-2023-001180,P001050-2023,Normal,28-08-2024,Ok,329445,GBP,Wire Transfer,Success,HD663225325
PAY-2024-001181,ARC00001072,Normal,20-09-2024,Ok,58392,GBP,BACS,Failed,IV799490589
PAY-2023-001182,MSL/2023/1134,Normal,24-01-2024,Ok,427239,USD,SWIFT,Cleared,PN981739289
PAY-2023-001183,IFM-2023-01027,Normal,06-03-2023,Ok,223982,GBP,SWIFT,Cleared,PQ669332048
PAY-2024-001184,FST-2024-01008,Normal,14-12-2024,Ok,427820,EUR,CHAPS,Failed,QL664724132
PAY-2023-001185,CIV-2024-01013,Normal,16-09-2024,Ok,73906,GBP,Cheque,Cleared,Not Provided
PAY-2023-001186,INV2024001081,Normal,22-11-2023,Ok,144408,GBP,EFT,Cleared,Not Provided
PAY-2024-001187,SI-0001043,Normal,20-09-2023,Ok,301688,GBP,ACH,Cleared,HV290818531
PAY-2023-001188,2024-KON-1033,Normal,16-08-2023,Ok,212291,EUR,BACS,Recalled,LE625913981
PAY-2024-001189,INV2023001003,Normal,05-01-2025,Ok,395060,EUR,International Wire,Processing,Not Provided
PAY-2024-001190,KON/2023/1066,Normal,16-12-2023,Ok,241951,EUR,SWIFT,Processing,JW985097223
PAY-2023-001191,SI-0001002,Normal,24-01-2025,Ok,478583,USD,Chaps,Cleared,IU245309870
PAY-2023-001192,P001048-2024,Normal,18-09-2023,Ok,47802,GBP,CHAPS,Failed,OL121562192
PAY-2024-001193,INV2024001038,Normal,05-10-2024,Ok,95924,GBP,Wire Transfer,Failed,NX883730677
PAY-2023-001194,ARC/2023/1041,Normal,29-10-2024,Ok,229341,GBP,Cheque,Cleared,LO642637911
PAY-2023-001195,INV2023001072,Normal,28-06-2025,Ok,192094,USD,BACS,Success,Not Provided
PAY-2023-001196,INV2023001028,Normal,25-04-2023,Ok,98088,USD,SWIFT,Bounced,KZ377927625
PAY-2023-001197,2023-YLU-1056,Normal,07-01-2024,Ok,241255,GBP,International Wire,Bounced,KI770533289
PAY-2023-001198,P001067-2023,Normal,29-01-2025,Ok,266333,USD,Wire Transfer,Success,CU866183245
PAY-2023-001199,SI-0001049,Normal,01-11-2023,Ok,167341,USD,Wire Transfer,Cleared,OD945847869
PAY-2024-001200,SI-0001036,Normal,18-01-2025,Ok,398957,GBP,faster payments,Returned,XE981407015
PAY-2024-001201,2024/39607,Normal,04-11-2024,Ok,108707,GBP,CHAPS,Bounced,Not Provided
PAY-2023-001202,2024/63284,Normal,04-01-2024,Ok,255774,GBP,Cheque,Cleared,VP503404496
PAY-2024-001203,ARC00001024,Normal,20-08-2024,Ok,466464,GBP,CHAPS,Cleared,XN273117786
PAY-2023-001204,INV2023001027,Normal,01-06-2025,Ok,438793,GBP,ACH,Cleared,PH478145051
PAY-2023-001205,INV2023001052,Normal,null,Check status,239458,EUR,International Wire,Processing,TK711613780
PAY-2023-001206,2023-KON-1015,Normal,04-07-2023,Ok,220297,EUR,SWIFT,Cleared,WB221451375
PAY-2024-001207,P001077-2023,Normal,06-11-2023,Ok,235372,GBP,CHAPS,Processing,Not Provided
PAY-2023-001208,SI-0001014,Normal,24-01-2025,Ok,99367,USD,International Wire,Failed,FD412885741
PAY-2023-001209,KNX-2024-01074,Normal,null,Check status,45728,GBP,International Wire,Returned,MB697974722
PAY-2024-001210,,Ghost Payment - Review,13-06-2023,Ok,92238,GBP,International Wire,Failed,VD512049620
PAY-2023-001211,INV2024001026,Normal,05-06-2025,Ok,211159,GBP,Cheque,Cleared,TJ651609405
PAY-2023-001212,PHX-2024-01043,Normal,17-04-2023,Ok,163367,USD,Wire Transfer,Success,EX972643638
PAY-2023-001213,2024/79278,Normal,21-07-2025,Ok,52042,GBP,ACH,Processing,LW572624125
PAY-2024-001214,2024/48045,Normal,20-05-2023,Ok,215140,USD,BACS,Failed,FI904664042
PAY-2023-001215,2023-CIV-1077,Normal,05-08-2025,Ok,2807308,GBP,ACH,Cleared,TJ430740469
PAY-2023-001216,SI-0001024,Normal,12-01-2024,Ok,298584,GBP,CHAPS,Failed,FA382692072
PAY-2023-001217,ENH00001057,Normal,18-03-2024,Ok,493818,USD,International Wire,Cleared,VT474721015
PAY-2023-001218,INV2023001159,Normal,null,Check status,20852,EUR,faster payments,Pending,LS781790199
PAY-2024-001219,P001149-2024,Normal,07-06-2024,Ok,295117,GBP,BACS,Recalled,XZ132480228
PAY-2023-001220,2023/51737,Normal,01-06-2024,Ok,221055,GBP,CHAPS,Pending,PG439048117
PAY-2024-001221,ENH-2024-01154,Normal,20-09-2023,Ok,256461,EUR,SWIFT,Success,BD574057962
PAY-2023-001222,2023-CIV-1002,Normal,10-12-2024,Ok,408292,GBP,faster payments,Cleared,Not Provided
PAY-2023-001223,P001121-2023,Normal,20-04-2025,Ok,174327,GBP,EFT,Success,KO717648032
PAY-2023-001224,YLU/2023/1076,Normal,07-05-2023,Ok,326400,GBP,BACS,Returned,Not Provided
PAY-2023-001225,PTL-2023-01026,Normal,19-06-2023,Ok,348835,USD,CHAPS,Cleared,BF640183656
PAY-2024-001226,2023-DAL-1172,Normal,04-07-2024,Ok,9379,GBP,Chaps,Cleared,LQ702880917
PAY-2023-001227,CWG00001011,Normal,13-10-2024,Ok,202923,USD,SWIFT,Success,AU928272994
PAY-2024-001228,TML00001011,Normal,null,Check status,108698,GBP,BACS,Success,VN938859952
PAY-2023-001229,CMT00001067,Normal,27-10-2024,Ok,399135,USD,Faster Payments,Processing,WZ570974762
PAY-2023-001230,DAL/2023/1123,Normal,03-07-2024,Ok,483578,GBP,BACS,Cleared,EM795163004
PAY-2024-001231,BIF/2024/1079,Normal,24-06-2024,Ok,240492,GBP,BACS,Success,EC532585075
PAY-2024-001232,HAY-2024-01027,Normal,22-02-2025,Ok,424913,GBP,International Wire,Failed,IH810707285
PAY-2024-005000,,Ghost Payment - Review,09-12-2024,Ok,113224,USD,BACS,Cleared,RL216461140
PAY-2024-005001,,Ghost Payment - Review,24-10-2024,Ok,143556,EUR,BACS,Cleared,XM890525734
PAY-2024-005002,,Ghost Payment - Review,14-04-2024,Ok,142031,EUR,Faster Payments,Cleared,XH737032236
PAY-2023-005003,,Ghost Payment - Review,21-05-2023,Ok,97244,GBP,Cheque,Cleared,ZB198572836
PAY-2024-005004,,Ghost Payment - Review,07-06-2024,Ok,128538,GBP,BACS,Cleared,BP977913586
PAY-2024-005005,,Ghost Payment - Review,03-01-2024,Ok,104608,GBP,International Wire,Cleared,OO553104679
PAY-2024-005006,,Ghost Payment - Review,19-01-2024,Ok,81385,USD,CHAPS,Cleared,PD435929378
PAY-2024-005007,,Ghost Payment - Review,16-02-2024,Ok,123392,GBP,faster payments,Cleared,XU627883720
PAY-2024-005008,,Ghost Payment - Review,08-03-2024,Ok,84161,GBP,CHAPS,Cleared,CM530602051
PAY-2024-005009,,Ghost Payment - Review,15-09-2024,Ok,134386,GBP,SWIFT,Cleared,FQ406390380
PAY-2024-005010,,Ghost Payment - Review,01-11-2024,Ok,8708,EUR,SWIFT,Cleared,LL602541287
PAY-2024-005011,,Ghost Payment - Review,15-04-2024,Ok,112824,EUR,Faster Payments,Cleared,BB123807725
