po_number,vendor_id,department,site_location,po_date,po_amount,approval_status,cost_centre,currency
4522573825,1000096466,Finance,Coventry,11-09-2024,75659,Pending,CC-2169-UK,GBP
4547565849,1000081143,Healthcare,Chicago IL,17-06-2024,238302,Approved,CC-8287-UK,GBP
4562710578,1000082868,HR & Admin,Glasgow,05-04-2024,317127,Pending,CC-9130-UK,GBP
4515400671,1000078188,Automation,Birmingham,06-10-2024,15740,Approved,CC-7452-UK,EUR
4511449694,1000035815,Automation,Leeds,29-11-2023,450386,Pending,CC-3844-US,GBP
4533573026,1000011404,HR & Admin,Atlanta GA,28-07-2023,186502,Pending,CC-3466-DE,GBP
4596722746,2000033981,Smart Infrastructure,Reading,13-01-2023,432598,Approved,CC-4356-UK,USD
4510446073,1000035815,Finance,Bristol,21-08-2023,448300,Approved,CC-3662-UK,GBP
4570130331,2000033106,Technical Services,Manchester,06-06-2024,131300,Pending,CC-6839-US,USD
4548612579,1000056979,Energy Management,Coventry,18-09-2024,378544,Approved,CC-9855-UK,GBP
4593367312,1000022345,Digital Industries,Leeds,08-03-2024,336878,Pending,CC-6327-DE,GBP
4510063087,1000060552,R&D,Leeds,21-02-2023,305804,Awaiting Approval,CC-6574-DE,EUR
4527850612,1000033983,HR & Admin,Chicago IL,21-02-2024,337434,Approved,CC-7528-US,GBP
4543769312,1000069628,Healthcare,Houston TX,21-01-2023,229981,Approved,CC-4610-DE,GBP
4525147213,1000033983,Technical Services,Reading,22-06-2024,95864,Approved,CC-3180-US,GBP
4561838112,1000066816,HR & Admin,Manchester,16-10-2023,300024,Pending,CC-4416-DE,GBP
4568220709,1000097776,Energy Management,Houston TX,18-05-2023,325236,Approved,CC-3583-UK,GBP
4553232833,1000087316,Procurement,Leeds,27-04-2023,109438,Pending,CC-4547-UK,GBP
4591151405,1000029627,Automation,Reading,04-05-2024,306716,Rejected,CC-3498-US,GBP
4581953019,1000035815,Automation,Leeds,31-07-2024,457770,Pending,CC-6685-DE,GBP
4514099095,1000087316,Digital Industries,Houston TX,01-01-2023,191976,Approved,CC-3360-DE,GBP
4517945614,2000067442,HR & Admin,Houston TX,04-04-2023,240682,Approved,CC-8419-UK,USD
4511753128,1000062828,R&D,London - Farnborough,08-03-2024,399910,Approved,CC-1027-DE,GBP
4583956334,2000071726,Energy Management,Leeds,24-10-2024,147102,Approved,CC-5084-DE,USD
4595771152,2000043692,Procurement,Chicago IL,19-01-2024,423979,Rejected,CC-8683-US,USD
4518743955,1000013105,Healthcare,Manchester,29-09-2024,430954,Pending,CC-1484-US,EUR
4566566316,1000099061,Energy Management,Bristol,16-08-2023,47065,Approved,CC-1955-DE,GBP
4518568974,1000034878,Automation,Coventry,13-12-2024,160253,Approved,CC-4680-US,GBP
4545432712,1000068330,HR & Admin,Detroit MI,27-02-2024,170131,Rejected,CC-1111-DE,GBP
4528200100,1000087316,Technical Services,Bristol,17-11-2024,478545,Awaiting Approval,CC-9076-UK,GBP
4573772263,1000064520,Technical Services,Chicago IL,30-04-2023,45518,Rejected,CC-5616-DE,GBP
4529847717,2000040186,Finance,Manchester,24-05-2024,379368,Approved,CC-6634-DE,USD
4529033134,1000085102,Automation,Birmingham,30-01-2024,5646,Awaiting Approval,CC-2381-UK,GBP
4582899551,1000014278,Procurement,Houston TX,26-06-2024,385822,Pending,CC-5657-US,GBP
4560465336,1000035815,Automation,Reading,28-06-2024,113692,Approved,CC-7877-US,GBP
4579476859,1000085102,Energy Management,Manchester,01-11-2023,300855,Approved,CC-7242-US,GBP
4550700353,2000083288,Finance,Manchester,18-03-2024,482622,Approved,CC-5601-UK,USD
4554000243,1000056920,IT Operations,Bristol,07-02-2023,264867,Pending,CC-9908-UK,GBP
4556720776,2000043692,Quality Assurance,Coventry,13-07-2024,423043,Pending,CC-2339-DE,USD
4535952977,2000083288,HR & Admin,Bristol,17-10-2023,308536,Pending,CC-1094-DE,USD
4595594140,1000096466,Automation,Reading,15-04-2023,470105,Approved,CC-6270-DE,GBP
4538474205,1000031867,HR & Admin,Reading,01-06-2024,143956,Pending,CC-1324-UK,EUR
4592951734,1000087316,HR & Admin,Reading,08-02-2024,338230,Rejected,CC-4029-US,GBP
4541213224,1000031867,Automation,Leeds,30-03-2023,312063,Approved,CC-5971-US,EUR
4554936997,1000022345,Automation,Manchester,11-06-2024,60478,Approved,CC-3234-UK,GBP
4530845342,1000056979,HR & Admin,Reading,06-09-2024,412388,Approved,CC-2533-US,GBP
4519086215,1000035815,Procurement,Birmingham,13-10-2024,309221,Pending,CC-2865-UK,GBP
4516893290,1000031235,R&D,Detroit MI,14-03-2024,366402,Approved,CC-6174-DE,GBP
4588484525,1000068330,Smart Infrastructure,Manchester,13-06-2023,324722,Approved,CC-1725-DE,GBP
4597546157,2000093507,HR & Admin,London - Farnborough,23-12-2024,24050,Approved,CC-7185-DE,USD
