match_id,po_number,invoice_number,po_amount,invoice_amount,variance,Custom,currency,match_status,tolerance_flag
MTC-10073,4511424393,INV2024001038,402487,407834,5347,Significant Variance,GBP,Matched,No
MTC-10074,4547670428,INV2024001013,223921,217434,-6487,Within Tolerance,GBP,Partial Match,No
MTC-10075,4527715082,2023-THG-1028,363080,356943,-6137,Within Tolerance,USD,Exception,No
MTC-10076,4572000995,BIF00001009,243146,248212,5066,Significant Variance,GBP,Partial Match,No
MTC-10077,4576509626,PLF/2023/1064,237485,234859,-2626,Within Tolerance,GBP,Partial Match,No
MTC-10078,4517373203,2023/72332,52230,45454,-6776,Within Tolerance,USD,Partial Match,No
MTC-10079,4569880196,SI-0001016,411956,416135,4179,Minor Variance,GBP,Partial Match,No
MTC-10080,4584781739,2024/83602,464864,466730,1866,Minor Variance,GBP,Partial Match,No
MTC-10081,4522493209,INV2024001021,148180,148207,27,Within Tolerance,USD,3-Way Match,No
MTC-10082,4552915831,2023-YLU-1007,19252,25727,6475,Significant Variance,GBP,Pending Review,No
MTC-10083,4586826109,SI-0001030,315620,310361,-5259,Within Tolerance,GBP,Pending Review,No
MTC-10084,4539496569,P001018-2024,351392,348479,-2913,Within Tolerance,GBP,Partial Match,No
MTC-10085,4582903416,P001021-2024,393178,397198,4020,Minor Variance,GBP,Pending Review,No
MTC-10086,4580757126,P001001-2024,127288,119812,-7476,Within Tolerance,GBP,Partial Match,No
MTC-10087,4573772263,2024-DAL-1028,45518,53377,7859,Significant Variance,GBP,Pending Review,No
MTC-10088,4577178167,GWI/2024/1060,168437,162238,-6199,Within Tolerance,USD,Partial Match,No
MTC-10089,4552915831,INV2024001011,19252,26918,7666,Significant Variance,GBP,Partial Match,No
MTC-10090,4578806340,2024-KON-1033,240602,212291,-28311,Within Tolerance,EUR,Exception,No
MTC-10091,4522493209,CMT00001022,148180,144359,-3821,Within Tolerance,USD,Unmatched,No
MTC-10092,4561720130,2023/45128,8987,15704,6717,Significant Variance,GBP,Pending Review,No
MTC-10093,4564128227,2024-GWI-1066,388603,390060,1457,Minor Variance,GBP,Pending Review,Yes
MTC-10094,4595594140,TML-2023-01039,470105,465819,-4286,Within Tolerance,GBP,Exception,No
MTC-10095,4597449560,PMS-2024-01008,303987,304383,-608370,Within Tolerance,EUR,Unmatched,No
MTC-10096,4592869300,2024/35001,184015,183332,-683,Within Tolerance,GBP,3-Way Match,Yes
MTC-10097,4574162696,2023/51737,224254,221055,-3199,Within Tolerance,GBP,Partial Match,No
MTC-10098,4559305311,INV2023001035,260566,262816,2250,Minor Variance,EUR,Exception,No
MTC-10099,4544666429,PHX00001032,435666,169334,-266332,Within Tolerance,EUR,Partial Match,No
MTC-10100,4573011095,SI-0001042,57224,53387,-3837,Within Tolerance,EUR,Exception,No
MTC-10101,4564942244,ERL/2023/1043,373996,371735,-2261,Within Tolerance,GBP,Partial Match,No
MTC-10102,4549547524,ERL-2023-01045,486608,224404,-262204,Within Tolerance,GBP,Unmatched,No
MTC-10103,4551352278,2024/82284,103481,108848,5367,Significant Variance,GBP,Partial Match,No
MTC-10104,4578806340,INV2023001052,240602,239458,-1144,Within Tolerance,EUR,Pending Review,Yes
MTC-10105,4595594140,SI-0001057,470105,471050,945,Minor Variance,GBP,Partial Match,Yes
MTC-10106,4556720776,SI-0001029,423043,421921,-1122,Within Tolerance,USD,Exception,Yes
MTC-10107,4550549460,INV2023001003,402561,395060,-7501,Within Tolerance,EUR,Pending Review,No
MTC-10108,4575649423,BBH-2024-01024,468654,461435,-7219,Within Tolerance,GBP,Pending Review,No
MTC-10109,4543769312,IFM-2023-01027,229981,223982,-5999,Within Tolerance,GBP,Pending Review,No
MTC-10110,4589710708,PTL-2023-01026,346467,348835,2368,Minor Variance,USD,Exception,No
MTC-10111,4511966146,N4L00001053,466365,467872,1507,Minor Variance,GBP,Exception,No
MTC-10112,4597735770,2023/24311,273940,263074,-10866,Within Tolerance,GBP,Partial Match,No
MTC-10113,4553029742,MSL00001034,399456,403053,3597,Minor Variance,USD,Partial Match,No
MTC-10114,4518378797,P001006-2024,216369,217375,1006,Minor Variance,GBP,Partial Match,Yes
MTC-10115,4525336431,ULC00001027,202922,197544,-5378,Within Tolerance,USD,Partial Match,No
MTC-10116,4590141088,P001029-2024,407955,402421,-5534,Within Tolerance,GBP,3-Way Match,No
MTC-10117,4592477969,SI-0001043,141490,148191,6701,Significant Variance,GBP,Pending Review,No
MTC-10118,4586025947,INV2023001023,9113,15231,6118,Significant Variance,GBP,Partial Match,No
MTC-10119,4590164644,2024-TTN-1002,208950,214937,5987,Significant Variance,GBP,Partial Match,No
MTC-10120,4584108985,P001015-2023,163748,163207,-541,Within Tolerance,USD,3-Way Match,Yes
MTC-10121,4579130404,P001031-2023,127069,129631,2562,Minor Variance,EUR,Pending Review,No
MTC-10122,4578806340,KON/2023/1066,240602,241951,1349,Minor Variance,EUR,Pending Review,Yes
MTC-10123,4529690012,IFM00001037,80103,74539,-5564,Within Tolerance,GBP,Partial Match,No
MTC-10124,4556055382,P001005-2023,202872,198221,-4651,Within Tolerance,GBP,Pending Review,No
MTC-10125,4587910819,INV2024001066,67962,73608,5646,Significant Variance,USD,Partial Match,No
MTC-10126,4551352278,TML/2023/1075,103481,110647,7166,Significant Variance,GBP,Pending Review,No
MTC-10127,4533573026,SI-0001031,186502,185466,-1036,Within Tolerance,GBP,Pending Review,Yes
MTC-10128,4566824735,GWI-2023-01080,363972,365657,1685,Minor Variance,GBP,Partial Match,No
MTC-10129,4593556042,CHX00001042,76555,84224,7669,Significant Variance,USD,Pending Review,No
MTC-10130,4517078676,SI-0001045,52053,45811,-6242,Within Tolerance,USD,Partial Match,No
MTC-10131,4582159808,SI-0001076,470903,476394,5491,Significant Variance,GBP,Exception,No
MTC-10132,4590565726,ARC00001024,471358,466464,-4894,Within Tolerance,GBP,Pending Review,No
MTC-10133,4512308244,2024/58772,334173,326539,-7634,Within Tolerance,USD,Partial Match,No
MTC-10134,4529847717,INV2024001018,379368,371533,-7835,Within Tolerance,USD,Exception,No
MTC-10135,4568220709,INV2024001014,325236,327542,2306,Minor Variance,GBP,Partial Match,No
MTC-10136,4533573026,2024/70155,186502,183286,-3216,Within Tolerance,GBP,Partial Match,No
MTC-10137,4536205501,P001026-2024,215354,209970,-5384,Within Tolerance,GBP,Partial Match,No
MTC-10138,4518175495,P001044-2023,483567,2403655,1920088,Major Variance,EUR,Unmatched,No
MTC-10139,4546278455,INV2023001014,49752,391699,341947,Major Variance,GBP,Unmatched,No
MTC-10140,4513812138,HAY/2023/1011,423481,420986,-2495,Within Tolerance,GBP,Partial Match,No
MTC-10141,4586103838,ENH00001057,498093,493818,-4275,Within Tolerance,EUR,Partial Match,No
MTC-10142,4569989388,SI-0001082,297565,293547,-4018,Within Tolerance,GBP,Partial Match,No
MTC-10143,4571755797,ULC/2023/1038,374763,380789,6026,Significant Variance,USD,Pending Review,No
MTC-10144,4575992324,2023-ASC-1023,411994,408821,-3173,Within Tolerance,EUR,Exception,No
MTC-10145,4573772263,DAL-2023-01044,45518,39430,-6088,Within Tolerance,GBP,Exception,No
MTC-10146,4522493209,SI-0001029,148180,149336,1156,Minor Variance,USD,Exception,Yes
MTC-10147,4527988233,TML/2023/1080,19783,12250,-7533,Within Tolerance,GBP,Exception,No
MTC-10148,4585624834,SI-0001034,445706,453175,7469,Significant Variance,GBP,Partial Match,No
MTC-10149,4510676626,2024/54941,304463,297831,-6632,Within Tolerance,GBP,Partial Match,No
MTC-10150,4553232833,P001033-2024,109438,103666,-5772,Within Tolerance,GBP,Partial Match,No
MTC-10151,4529970454,THG00001035,351660,353274,1614,Minor Variance,USD,Pending Review,No
MTC-10152,4575455497,2023-PLF-1072,179535,184626,5091,Significant Variance,GBP,Pending Review,No
MTC-10153,4591151405,2024/40312,306716,312904,6188,Significant Variance,GBP,Partial Match,No
MTC-10154,4544666429,PHX00001035,435666,161466,-274200,Within Tolerance,EUR,Unmatched,No
MTC-10155,4518743955,FST-2024-01008,430954,427820,-3134,Within Tolerance,EUR,Exception,No
MTC-10156,4564128227,2023/65015,388603,382696,-5907,Within Tolerance,GBP,Pending Review,No
MTC-10157,4522493209,SI-0001102,148180,386752,238572,Major Variance,GBP,Unmatched,No
MTC-10158,4540357142,P001050-2023,325314,329445,4131,Minor Variance,GBP,Exception,No
MTC-10159,4569989388,2023/88881,297565,309523,11958,Significant Variance,GBP,Partial Match,No
MTC-10160,4578806340,2023/45721,240602,234495,-6107,Within Tolerance,EUR,Partial Match,No
MTC-10161,4580514951,NGB/2024/1021,479164,475797,-3367,Within Tolerance,GBP,Exception,No
MTC-10162,4551352278,INV2024001089,103481,529755,426274,Major Variance,GBP,Unmatched,No
MTC-10163,4581953019,2023/17765,457770,461067,3297,Minor Variance,GBP,Partial Match,No
MTC-10164,4586438542,N4L/2023/1095,54056,57658,3602,Minor Variance,GBP,Partial Match,No
MTC-10165,4541084002,SI-0001073,383281,196007,-187274,Within Tolerance,EUR,Exception,No
MTC-10166,4524565475,NGB/2024/1027,484414,489477,5063,Significant Variance,GBP,Pending Review,No
MTC-10167,4579130404,2023-IFM-1048,127069,122395,-4674,Within Tolerance,GBP,Exception,No
MTC-10168,4590726615,SI-0001064,255882,256244,362,Within Tolerance,EUR,Matched,Yes
MTC-10169,4573772263,DAL00001063,45518,39991,-5527,Within Tolerance,GBP,Exception,No
MTC-10170,4568050002,FST00001009,263916,271222,7306,Significant Variance,EUR,Exception,No
MTC-10171,4541697369,CMT00001043,236325,240323,3998,Minor Variance,USD,Partial Match,No
MTC-10172,4597735770,SI-0001075,273940,277672,3732,Minor Variance,GBP,Partial Match,No
MTC-10173,4586047309,ENH-2023-01072,134830,129802,-5028,Within Tolerance,EUR,Partial Match,No
MTC-10174,4511966146,2023/94035,466365,460123,-6242,Within Tolerance,GBP,Partial Match,No
MTC-10175,4597735770,DAL00001087,273940,276176,2236,Minor Variance,GBP,Partial Match,No
MTC-10176,4515101477,SI-0001019,17563,16918,-645,Within Tolerance,EUR,Matched,Yes
MTC-10177,4591151405,N4L/2024/1103,306716,310232,3516,Minor Variance,GBP,Exception,No
MTC-10178,4545550848,IUK00001046,45751,187993,142242,Major Variance,GBP,Unmatched,No
MTC-10179,4530845342,BIF00001013,412388,410802,-1586,Within Tolerance,GBP,Pending Review,No
MTC-10180,4595078105,YLU-2024-01038,332271,330504,-1767,Within Tolerance,GBP,Pending Review,No
MTC-10181,4557822552,2023-DAL-1100,400644,481498,80854,Major Variance,GBP,Unmatched,No
MTC-10182,4595219410,HAY00001021,102327,94343,-7984,Within Tolerance,GBP,Partial Match,No
MTC-10183,4541697369,P001051-2023,236325,240829,4504,Minor Variance,GBP,Exception,No
MTC-10184,4533105548,ULC/2023/1046,211907,204399,-7508,Within Tolerance,USD,Pending Review,No
MTC-10185,4552915831,P001053-2023,19252,22277,3025,Minor Variance,GBP,Exception,No
MTC-10186,4568910774,SI-0001015,307323,300470,-6853,Within Tolerance,GBP,Partial Match,No
MTC-10187,4546200009,2023-PLF-1086,196548,194180,-2368,Within Tolerance,GBP,Exception,No
MTC-10188,4554763235,2024-RCS-1031,329938,324003,-5935,Within Tolerance,GBP,Tolerance Match,No
MTC-10189,4575649423,BBH/2024/1034,468654,470564,1910,Minor Variance,GBP,Partial Match,No
MTC-10190,4513504964,2023/68589,129462,123564,-5898,Within Tolerance,GBP,Exception,No
MTC-10191,4586398574,2023-YLU-1056,240328,241255,927,Minor Variance,GBP,Exception,Yes
MTC-10192,4511907184,2024/39607,111555,108707,-2848,Within Tolerance,GBP,Pending Review,No
MTC-10193,4594970749,2024-KON-1080,403275,402192,-1083,Within Tolerance,EUR,Exception,Yes
MTC-10194,4513182792,ERL-2024-01046,252498,254234,1736,Minor Variance,GBP,Partial Match,No
MTC-10195,4530790855,DAL-2023-01107,257220,257858,638,Minor Variance,GBP,Matched,Yes
MTC-10196,4575649423,2023/17421,468654,470532,1878,Minor Variance,GBP,Partial Match,No
MTC-10197,4531112159,INV2023001027,440739,438793,-1946,Within Tolerance,GBP,Partial Match,No
MTC-10198,4514556276,SI-0001027,438636,436797,-1839,Within Tolerance,GBP,Partial Match,No
MTC-10199,4562710578,SPE/2024/1058,317127,323735,6608,Significant Variance,GBP,Pending Review,No
MTC-10200,4589710708,PTL-2023-01032,346467,339907,-686374,Within Tolerance,USD,Unmatched,No
MTC-10201,4544935319,CIV-2023-01034,357023,353414,-3609,Within Tolerance,GBP,Unmatched,No
MTC-10202,4548566094,ARC/2023/1041,229318,229341,23,Within Tolerance,GBP,2-Way Match,No
MTC-10203,4579130404,INV2024001060,127069,126654,-415,Within Tolerance,GBP,Matched,Yes
MTC-10204,4546200009,SI-0001098,196548,189438,-7110,Within Tolerance,GBP,Partial Match,No
MTC-10205,4584108985,2024-CIR-1029,163748,166506,2758,Minor Variance,USD,Exception,No
MTC-10206,4596260793,P001011-2023,55359,306966,251607,Major Variance,USD,Exception,No
MTC-10207,4510063087,INV2023001075,305804,299228,-6576,Within Tolerance,EUR,Exception,No
MTC-10208,4566024494,INV2023001097,412647,409178,-3469,Within Tolerance,GBP,Partial Match,No
MTC-10209,4535999790,2024/34364,185525,184145,-1380,Within Tolerance,USD,Partial Match,Yes
MTC-10210,4574162696,2023/59276,224254,229146,4892,Minor Variance,GBP,Partial Match,No
MTC-10211,4511966146,SI-0001104,466365,460004,-6361,Within Tolerance,GBP,Partial Match,No
MTC-10212,4545550848,2024-PLF-1111,45751,48536,2785,Minor Variance,GBP,Exception,No
MTC-10213,4529558852,P001121-2023,180478,174327,-6151,Within Tolerance,GBP,Partial Match,No
MTC-10214,4581317004,SI-0001092,480454,378433,-102021,Within Tolerance,EUR,Exception,No
MTC-10215,4555454582,ERL/2023/1047,67810,62982,-4828,Within Tolerance,GBP,Partial Match,No
MTC-10216,4527566835,2023/55048,447817,450206,2389,Minor Variance,GBP,Exception,No
MTC-10217,4566024494,P001103-2024,412647,419431,6784,Significant Variance,GBP,Partial Match,No
MTC-10218,4538516658,INV2024001059,133785,128625,-5160,Within Tolerance,USD,Partial Match,No
MTC-10219,4514498117,P001013-2024,74777,78054,3277,Minor Variance,GBP,Exception,No
MTC-10220,4592869300,2024-ERL-1049,184015,191083,7068,Significant Variance,GBP,Partial Match,No
MTC-10221,4598236168,2024-ENH-1076,262596,259314,-3282,Within Tolerance,EUR,Partial Match,No
MTC-10222,4598628262,P001030-2024,340146,340073,-73,Within Tolerance,GBP,Tolerance Match,No
MTC-10223,4533105548,ULC/2023/1053,211907,213413,1506,Minor Variance,USD,Partial Match,No
MTC-10224,4548566094,ARC/2024/1043,229318,222812,-6506,Within Tolerance,GBP,Tolerance Match,No
MTC-10225,4517078676,2024/79278,52053,52042,-11,Within Tolerance,GBP,Matched,No
MTC-10226,4531112159,2024-BIF-1038,440739,444984,4245,Minor Variance,GBP,Pending Review,No
MTC-10227,4513812138,HAY-2024-01027,423481,424913,1432,Minor Variance,GBP,Exception,Yes
MTC-10228,4517373203,SI-0001046,52230,53977,1747,Minor Variance,USD,Partial Match,No
MTC-10229,4592869300,2024/86475,184015,186318,2303,Minor Variance,GBP,Exception,No
MTC-10230,4527715082,2023-THG-1047,363080,358405,-4675,Within Tolerance,USD,Partial Match,No
MTC-10231,4588890772,INV2023001063,333746,333498,-248,Within Tolerance,GBP,3-Way Match,Yes
MTC-10232,4555248603,PMS/2023/1032,231368,235591,4223,Minor Variance,EUR,Partial Match,No
MTC-10233,4531940315,SI-0001036,406110,398957,-7153,Within Tolerance,GBP,Pending Review,No
MTC-10234,4548566094,2024-ARC-1056,229318,229054,-264,Within Tolerance,GBP,Matched,Yes
MTC-10235,4575216623,SI-0001041,322747,320920,-1827,Within Tolerance,GBP,Pending Review,No
MTC-10236,4548566094,2024/46113,229318,226421,-2897,Within Tolerance,GBP,Exception,No
MTC-10237,4539496569,REN/2024/1034,351392,347638,-3754,Within Tolerance,GBP,Partial Match,No
MTC-10238,4582899551,PFM00001034,385822,387631,1809,Minor Variance,GBP,Partial Match,No
MTC-10239,4579130404,2023/70306,127069,321284,194215,Major Variance,GBP,3-Way Match,No
MTC-10240,4575455497,P001135-2024,179535,171863,-7672,Within Tolerance,GBP,Exception,No
MTC-10241,4561573152,CMT00001067,404627,399135,-5492,Within Tolerance,USD,Partial Match,No
MTC-10242,4554936997,ARC00001072,60478,58392,-2086,Within Tolerance,GBP,Partial Match,No
MTC-10243,4581317004,2023-MSL-1055,480454,478104,-2350,Within Tolerance,USD,Pending Review,No
MTC-10244,4596722746,THG/2023/1051,432598,434111,1513,Minor Variance,USD,Partial Match,No
MTC-10245,4551818673,ARC00001079,284506,283439,-1067,Within Tolerance,GBP,Partial Match,Yes
MTC-10246,4521752058,P001082-2023,54124,58735,4611,Minor Variance,EUR,Partial Match,No
MTC-10247,4514099095,INV2023001059,191976,191399,-577,Within Tolerance,GBP,3-Way Match,Yes
MTC-10248,4541084002,SI-0001057,383281,378503,-4778,Within Tolerance,USD,Pending Review,No
MTC-10249,4511449694,PLF/2024/1139,450386,443082,-7304,Within Tolerance,GBP,Partial Match,No
MTC-10250,4555248603,2024-PMS-1034,231368,230146,-1222,Within Tolerance,EUR,Exception,Yes
MTC-10251,4596260793,2023/78400,55359,71277,15918,Significant Variance,GBP,Unmatched,No
MTC-10252,4583208610,MSL-2024-01063,104281,103567,-714,Within Tolerance,USD,3-Way Match,Yes
MTC-10253,4510446073,PLF00001149,448300,380136,-68164,Within Tolerance,GBP,Exception,No
MTC-10254,4533105548,ULC-2024-01065,211907,214121,2214,Minor Variance,USD,Pending Review,No
MTC-10255,4593547481,SSE/2024/1020,492559,491079,-1480,Within Tolerance,GBP,Pending Review,Yes
MTC-10256,4550758621,2023-KON-1102,313015,319628,-632643,Within Tolerance,EUR,Unmatched,No
MTC-10257,4596260793,2024/15988,55359,75235,19876,Significant Variance,EUR,Unmatched,No
MTC-10258,4571981903,2024/78647,455866,450681,-5185,Within Tolerance,GBP,Partial Match,No
MTC-10259,4510676626,2023-N4L-1111,304463,298693,-5770,Within Tolerance,GBP,Exception,No
MTC-10260,4518907521,2023/18742,252594,253564,970,Minor Variance,GBP,Partial Match,Yes
MTC-10261,4588755284,INV2023001072,144490,192094,47604,Major Variance,GBP,Unmatched,No
MTC-10262,4541084002,2024-CHX-1065,383281,387139,3858,Minor Variance,USD,Partial Match,No
MTC-10263,4551818673,2023/40038,284506,286208,1702,Minor Variance,GBP,Pending Review,No
MTC-10264,4539555133,KAI-2024-01012,415576,415924,348,Within Tolerance,GBP,3-Way Match,Yes
MTC-10265,4593556042,2023-CHX-1070,76555,69556,-6999,Within Tolerance,USD,Exception,No
MTC-10266,4598236168,ENH/2024/1103,262596,265117,2521,Minor Variance,EUR,3-Way Match,No
MTC-10267,4529690012,IFM/2024/1078,80103,76763,-156866,Within Tolerance,GBP,Unmatched,No
MTC-10268,4549547524,MSL00001075,486608,493065,6457,Significant Variance,USD,Partial Match,No
MTC-10269,4556937333,P001048-2024,173560,167092,-6468,Within Tolerance,GBP,Exception,No
MTC-10270,4545603480,ECL-2023-01025,491371,487140,-4231,Within Tolerance,GBP,Pending Review,No
MTC-10271,4531112159,2023-BIF-1053,440739,444257,3518,Minor Variance,GBP,Partial Match,No
MTC-10272,4570130331,PMC-2023-01015,131300,129506,-1794,Within Tolerance,USD,Partial Match,No
MTC-10273,4549387711,BSS-2024-01012,262933,1326830,1063897,Major Variance,GBP,Unmatched,No
MTC-10274,4533024059,INV2023001030,242827,243538,711,Minor Variance,GBP,Matched,Yes
MTC-10275,4517053378,N4L-2024-01116,439883,1743132,1303249,Major Variance,GBP,Unmatched,No
MTC-10276,4525336431,SI-0001066,202922,201895,-1027,Within Tolerance,USD,Pending Review,Yes
MTC-10277,4587910819,TML-2024-01129,67962,60309,-7653,Within Tolerance,GBP,Pending Review,No
MTC-10278,4589710708,PTL/2023/1046,346467,354212,7745,Significant Variance,USD,Pending Review,No
MTC-10279,4573775964,P001038-2023,228970,235108,6138,Significant Variance,GBP,Partial Match,No
MTC-10280,4535093469,MSL-2023-01089,423858,428439,4581,Minor Variance,USD,Pending Review,No
MTC-10281,4550570766,2024/49428,471831,464502,-7329,Within Tolerance,GBP,Partial Match,No
MTC-10282,4546278455,TTR/2024/1019,49752,48169,-1583,Within Tolerance,GBP,Partial Match,No
MTC-10283,4516893290,NGB-2023-01055,366402,372853,6451,Significant Variance,GBP,Pending Review,No
MTC-10284,4588484525,BBH-2024-01042,324722,328942,-653664,Within Tolerance,GBP,Exception,No
MTC-10285,4578806340,2024/69406,240602,240600,-2,Within Tolerance,EUR,3-Way Match,No
